Unnamed: 0,A,B,C,D,E,F
1.0,This list was put together by the Woke Content Detector Steam group with assistance from members of RPGHQ.,👉,Steam Group Link: https://steamcommunity.com/groups/Woke_Content_Detector,Curator Link: https://store.steampowered.com/curator/44927664-Woke-Content-Detector/,👈,"If you would like to support our work, please join our Steam group and follow our curator. Thank you!"
2.0,Game,Release Year,Developer,Publisher,Rating,Review
,,,,,,
3.0,Bloons TD 6,2018,Ninja Kiwi,Ninja Kiwi,Not Recommended,Contains overtly pro-LGBTQ+ messaging. There is a pride flag item available in the trophy store with a pro-pride message. Psi is referred to using they/them pronouns.
4.0,Starfield,2023,Bethesda Game Studios,Bethesda Softworks,Not Recommended,Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Pronoun selection including the option for they/them. Uses body type 1 and 2 instead of male/female. Improbably diverse npcs in all areas.
5.0,Baldur's Gate 3,2023,Larian Studios,Larian Studios,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Non-binary/other option available for identity in the character creation menu. Uses body type instead of male and female. Optional homosexual romance.
6.0,Hades,2020,Supergiant Games,Supergiant Games,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Homosexual relationship between minor characters. Optional homosexual romance. The npc Chaos is non-binary. The npc Dusa says she is asexual.
7.0,Shovel Knight Shovel of Hope,2014,Yacht Club Games,Yacht Club Games,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Now includes a body swap mode that allows you to independently change whether each character is male or female for his/her body and text.
8.0,Shovel Knight Treasure Trove,2014,Yacht Club Games,Yacht Club Games,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Now includes a body swap mode that allows you to independently change whether each character is male or female for his/her body and text.
9.0,Hogwarts Legacy,2023,Avalanche Software,Warner Bros. Games,Not Recommended,"Contains overtly pro-LGBTQ+ messaging. Contains overtly pro-DEI messaging. 1800's Scotland somehow has diverse, LGBTQ+ characters. Uses body type instead of biological sex."
10.0,Tekken 8,2024,Bandai Namco Studios Inc.,Bandai Namco Entertainment,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation.
11.0,Palworld,2024,Pocketpair,Pocketpair,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation.
12.0,Street Fighter 6,2023,"Capcom Co., Ltd.","Capcom Co., Ltd.",Not Recommended,Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation.
13.0,Wo Long: Fallen Dynasty,2023,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD., CE-Asia(Asia)",Not Recommended,Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation.
14.0,Elden Ring,2022,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",Not Recommended,Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation.
15.0,Assassin’s Creed III Remastered,2019,Ubisoft Montreal,Ubisoft,Not Recommended,Contains overtly pro-DEI messaging. Forced diversity that is inaccurate for the time period.
16.0,Suicide Squad: Kill the Justice League,2024,Rocksteady Studios,Warner Bros. Games,Not Recommended,"Contains overtly pro-LGBTQ+ messaging. Contains overtly pro-DEI messaging. Contains overtly anti-patriarchy messaging. Race swaps Deadshot, LGBT flags, shames the patriarchy."
